Noise level:0.0
Random done in: 0:00:00.000235, ARIs: [array([1., 1.]), array([0.181, 0.777])]
Greedy done in: 0:00:00.001357, ARIs: [array([1., 1.]), array([1.   , 0.519])]
ILP done in: 0:00:01.142603, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000146, ARIs: [array([1., 1.]), array([0.773, 0.885])]
Greedy done in: 0:00:00.001428, ARIs: [array([1.   , 0.892]), array([0.001, 0.171])]
ILP done in: 0:00:01.116627, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000150, ARIs: [array([0.411, 0.472]), array([1.   , 0.517])]
Greedy done in: 0:00:00.001357, ARIs: [array([0.256, 0.311]), array([0.155, 0.671])]
ILP done in: 0:00:01.151821, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000200, ARIs: [array([1.   , 0.778]), array([0.003, 0.888])]
Greedy done in: 0:00:00.001424, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.162248, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000143, ARIs: [array([1.   , 0.368]), array([0.026, 0.24 ])]
Greedy done in: 0:00:00.001411, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.067309, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000147, ARIs: [array([1.   , 0.775]), array([0.008, 0.643])]
Greedy done in: 0:00:00.001383, ARIs: [array([-0.016,  0.068]), array([0.008, 0.643])]
ILP done in: 0:00:01.168782, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000147, ARIs: [array([0.093, 0.76 ]), array([0.31 , 0.636])]
Greedy done in: 0:00:00.001449, ARIs: [array([0.179, 0.83 ]), array([0.31 , 0.636])]
ILP done in: 0:00:01.063574, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000168, ARIs: [array([1., 1.]), array([0.486, 0.922])]
Greedy done in: 0:00:00.001444, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.164207, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000152, ARIs: [array([0.007, 0.254]), array([0.044, 0.608])]
Greedy done in: 0:00:00.001361, ARIs: [array([0.473, 0.719]), array([0.044, 0.608])]
ILP done in: 0:00:01.261982, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000148, ARIs: [array([0.083, 0.356]), array([0.066, 0.745])]
Greedy done in: 0:00:00.001358, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.174137, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000158, ARIs: [array([1.   , 0.618]), array([0.003, 0.924])]
Greedy done in: 0:00:00.001399, ARIs: [array([1., 1.]), array([0.003, 0.021])]
ILP done in: 0:00:01.187333, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000140, ARIs: [array([1.   , 0.616]), array([0.068, 0.443])]
Greedy done in: 0:00:00.001436, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.252867, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000141, ARIs: [array([0.033, 0.262]), array([-0.022,  0.512])]
Greedy done in: 0:00:00.001384, ARIs: [array([1., 1.]), array([-0.022,  0.512])]
ILP done in: 0:00:01.177042, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000163, ARIs: [array([0.184, 0.385]), array([0.502, 0.828])]
Greedy done in: 0:00:00.001386, ARIs: [array([0.375, 0.868]), array([0.448, 0.477])]
ILP done in: 0:00:01.248305, ARIs: [array([0.375, 0.868]), array([0.448, 0.477])]

Random done in: 0:00:00.000145, ARIs: [array([1., 1.]), array([0.057, 0.16 ])]
Greedy done in: 0:00:00.001403, ARIs: [array([0.224, 0.482]), array([1., 1.])]
ILP done in: 0:00:01.135309, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000134, ARIs: [array([0.514, 0.688]), array([-0.002,  0.693])]
Greedy done in: 0:00:00.001319, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.067415, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000140, ARIs: [array([0.014, 0.557]), array([0.06 , 0.937])]
Greedy done in: 0:00:00.001336, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.167627, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000168, ARIs: [array([0.163, 0.944]), array([1.  , 0.73])]
Greedy done in: 0:00:00.001392, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.209165, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000175, ARIs: [array([0.039, 0.638]), array([0.058, 0.393])]
Greedy done in: 0:00:00.001403, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.158852, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000142, ARIs: [array([1., 1.]), array([0.091, 0.223])]
Greedy done in: 0:00:00.001355, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.189297, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000160, ARIs: [array([0.031, 0.295]), array([1.   , 0.834])]
Greedy done in: 0:00:00.001400, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.240212, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000145, ARIs: [array([0.016, 0.27 ]), array([-0.004,  0.845])]
Greedy done in: 0:00:00.001383, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.173921, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000143, ARIs: [array([1.   , 0.467]), array([1.   , 0.796])]
Greedy done in: 0:00:00.001600, ARIs: [array([0.011, 0.438]), array([0.004, 0.067])]
ILP done in: 0:00:01.013324, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000148, ARIs: [array([1., 1.]), array([1., 1.])]
Greedy done in: 0:00:00.001340, ARIs: [array([1.   , 0.678]), array([1., 1.])]
ILP done in: 0:00:01.166805, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000142, ARIs: [array([0.173, 0.85 ]), array([1.   , 0.423])]
Greedy done in: 0:00:00.001343, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.116422, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000151, ARIs: [array([1., 1.]), array([1., 1.])]
Greedy done in: 0:00:00.001344, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.082044, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000233, ARIs: [array([0.118, 0.519]), array([-0.017,  0.035])]
Greedy done in: 0:00:00.001381, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.119640, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000151, ARIs: [array([0.258, 0.313]), array([1.   , 0.648])]
Greedy done in: 0:00:00.001355, ARIs: [array([0.364, 0.418]), array([1.   , 0.648])]
ILP done in: 0:00:01.006851, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000146, ARIs: [array([0.423, 0.849]), array([0.03 , 0.289])]
Greedy done in: 0:00:00.001349, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.043056, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000139, ARIs: [array([1., 1.]), array([1.   , 0.613])]
Greedy done in: 0:00:00.001380, ARIs: [array([0.184, 0.651]), array([1., 1.])]
ILP done in: 0:00:01.268161, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000142, ARIs: [array([-0.011,  0.464]), array([0.026, 0.974])]
Greedy done in: 0:00:00.001361, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.232476, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000139, ARIs: [array([1., 1.]), array([0.018, 0.441])]
Greedy done in: 0:00:00.001401, ARIs: [array([0.042, 0.278]), array([0.018, 0.441])]
ILP done in: 0:00:01.236600, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000147, ARIs: [array([0.266, 0.349]), array([1., 1.])]
Greedy done in: 0:00:00.001379, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.097197, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000145, ARIs: [array([-0.005,  0.766]), array([0.693, 0.971])]
Greedy done in: 0:00:00.001372, ARIs: [array([-0.005,  0.621]), array([0.44 , 0.475])]
ILP done in: 0:00:01.166873, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000142, ARIs: [array([0.288, 0.722]), array([-0.039, -0.026])]
Greedy done in: 0:00:00.001372, ARIs: [array([0.148, 0.165]), array([1., 1.])]
ILP done in: 0:00:01.202336, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000140, ARIs: [array([0.732, 0.959]), array([-0.043,  0.979])]
Greedy done in: 0:00:00.001381, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.064237, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000148, ARIs: [array([1.   , 0.646]), array([-0.006,  0.431])]
Greedy done in: 0:00:00.001355, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.235869, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000140, ARIs: [array([0.025, 0.349]), array([0.008, 0.085])]
Greedy done in: 0:00:00.001378, ARIs: [array([0.025, 0.349]), array([1.   , 0.174])]
ILP done in: 0:00:01.168570, ARIs: [array([0.025, 0.349]), array([1.   , 0.174])]

Random done in: 0:00:00.000157, ARIs: [array([0.296, 0.533]), array([0.584, 0.684])]
Greedy done in: 0:00:00.001410, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.128683, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000132, ARIs: [array([1.  , 0.71]), array([1.   , 0.206])]
Greedy done in: 0:00:00.001322, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.114574, ARIs: [array([0.419, 0.681]), array([1., 1.])]

Random done in: 0:00:00.000138, ARIs: [array([-0.002,  0.504]), array([1., 1.])]
Greedy done in: 0:00:00.001364, ARIs: [array([-0.002,  0.297]), array([0.502, 0.739])]
ILP done in: 0:00:01.073999, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000163, ARIs: [array([1., 1.]), array([1. , 0.4])]
